Plate Name,Experiment Name,Specimen Name,Sample Name,Workspace Name,Plot Name,Gate Name,X Parameter,Y Parameter,Event Count,% Parent,% Total,Mean X,Mean Y,Median X,Median Y,Std. Dev. X,Std. Dev. Y,% C.V. X,% C.V. Y,Concentration,
N/A,IGP_II_20170417,Specimen,Sample(16),OSCAR_exp,BL1-A vs BL3-A,All Events,BL1-A,BL3-A,"100,000",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,2439.02439,
N/A,IGP_II_20170417,Specimen,Sample(16),OSCAR_exp,BL1-A vs BL3-A,culture population,BL1-A,BL3-A,"35,632",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,869.073171,
N/A,IGP_II_20170417,Specimen,Sample(16),OSCAR_exp,BL1-H vs BL1-A,All Events,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,2439.02439,
N/A,IGP_II_20170417,Specimen,Sample(16),OSCAR_exp,BL1-H vs BL1-A,R1,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,754.414634,
N/A,IGP_II_20170417,Specimen,Sample(17),OSCAR_exp,BL1-A vs BL3-A,All Events,BL1-A,BL3-A,"100,000",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,2500,
N/A,IGP_II_20170417,Specimen,Sample(17),OSCAR_exp,BL1-A vs BL3-A,culture population,BL1-A,BL3-A,"27,675",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,691.875,
N/A,IGP_II_20170417,Specimen,Sample(17),OSCAR_exp,BL1-H vs BL1-A,All Events,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,2500,
N/A,IGP_II_20170417,Specimen,Sample(17),OSCAR_exp,BL1-H vs BL1-A,R1,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,603.625,
N/A,IGP_II_20170417,Specimen,Sample(18),OSCAR_exp,BL1-A vs BL3-A,All Events,BL1-A,BL3-A,"37,104",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,371.04,
N/A,IGP_II_20170417,Specimen,Sample(18),OSCAR_exp,BL1-A vs BL3-A,culture population,BL1-A,BL3-A,"22,106",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,221.06,
