Plate Name,Experiment Name,Specimen Name,trmt,Workspace Name,Plot Name,Gate Name,X Parameter,Y Parameter,Event Count,% Parent,% Total,Mean X,Mean Y,Median X,Median Y,Std. Dev. X,Std. Dev. Y,% C.V. X,% C.V. Y,Concentration
N/A,IGP_II_20170417,Specimen,Tend_08_5,OSCAR_exp,BL1-H vs BL1-A,R1,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,405.170732
N/A,IGP_II_20170417,Specimen,Tend_10_1,OSCAR_exp,BL1-A vs BL3-A,All Events,BL1-A,BL3-A,"100,000",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,2539.02439
N/A,IGP_II_20170417,Specimen,Tend_10_1,OSCAR_exp,BL1-A vs BL3-A,culture population,BL1-A,BL3-A,"24,742",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,589.243902
N/A,IGP_II_20170417,Specimen,Tend_10_1,OSCAR_exp,BL1-H vs BL1-A,All Events,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,2539.02439
N/A,IGP_II_20170417,Specimen,Tend_10_1,OSCAR_exp,BL1-H vs BL1-A,R1,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,505.170732
N/A,IGP_II_20170417,Specimen,Tend_10_2,OSCAR_exp,BL1-A vs BL3-A,All Events,BL1-A,BL3-A,"100,000",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,1163.829787
N/A,IGP_II_20170417,Specimen,Tend_10_2,OSCAR_exp,BL1-A vs BL3-A,culture population,BL1-A,BL3-A,"15,597",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,581.287234
N/A,IGP_II_20170417,Specimen,Tend_10_2,OSCAR_exp,BL1-H vs BL1-A,All Events,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,1163.829787
N/A,IGP_II_20170417,Specimen,Tend_10_2,OSCAR_exp,BL1-H vs BL1-A,R1,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,525.925532
N/A,IGP_II_20170417,Specimen,Tend_10_3,OSCAR_exp,BL1-A vs BL3-A,All Events,BL1-A,BL3-A,"100,000",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,1319.512195
N/A,IGP_II_20170417,Specimen,Tend_10_3,OSCAR_exp,BL1-A vs BL3-A,culture population,BL1-A,BL3-A,"17,293",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,794.780488
N/A,IGP_II_20170417,Specimen,Tend_10_3,OSCAR_exp,BL1-H vs BL1-A,All Events,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,1319.512195
